match_id,date,club_id,club,opponent,goals,goals_against,source_url,source_page,phases_page,possession_pct,formation,build_up_unopposed_pct,build_up_opposed_pct,progression_pct,final_third_pct,long_ball_pct,attacking_transition_pct,counter_attack_pct,high_press_pct,mid_press_pct,low_press_pct,high_block_pct,mid_block_pct,low_block_pct,counter_press_pct,passes_attempted,passes_completed,line_breaks_completed,direct_pressures,shots,distance_m,pass_completion_pct
6,2025-06-16,chelseafc,Chelsea FC,LAFC,2,0,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M06%20CHE%20V%20LAF%20POST%20MATCH%20REPORT.pdf,3,4,60.6,4-2-1-3,36.0,19.0,21.0,22.0,1.0,8.0,1.0,8.0,5.0,0.0,7.0,18.0,11.0,11.0,737.0,683.0,141.0,46.0,17.0,106001.0,92.67299864314789
6,2025-06-16,lafc,LAFC,Chelsea FC,0,2,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M06%20CHE%20V%20LAF%20POST%20MATCH%20REPORT.pdf,3,4,33.4,4-1-2-3,25.0,15.0,21.0,15.0,4.0,16.0,3.0,4.0,5.0,1.0,7.0,29.0,28.0,6.0,402.0,343.0,95.0,59.0,8.0,112105.6,85.32338308457712
7,2025-06-16,cabocajuniors,CA Boca Juniors,SL Benfica,2,2,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M07%20BOC%20V%20SLB%20POST%20MATCH%20REPORT.pdf,3,4,34.6,4-1-2-3,25.0,9.0,12.0,12.0,10.0,20.0,2.0,1.0,1.0,1.0,2.0,23.0,34.0,11.0,292.0,205.0,52.0,64.0,10.0,105840.8,70.20547945205479
7,2025-06-16,slbenfica,SL Benfica,CA Boca Juniors,2,2,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M07%20BOC%20V%20SLB%20POST%20MATCH%20REPORT.pdf,3,4,54.4,4-2-3-1,37.0,12.0,24.0,20.0,1.0,15.0,1.0,4.0,4.0,1.0,6.0,19.0,9.0,15.0,431.0,371.0,93.0,33.0,7.0,104701.4,86.07888631090488
8,2025-06-16,crflamengo,CR Flamengo,Espérance De Tunisie,2,0,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M08%20FLA%20V%20EST%20POST%20MATCH%20REPORT.pdf,3,4,63.6,4-2-3-1,43.0,16.0,20.0,10.0,1.0,10.0,1.0,8.0,5.0,0.0,10.0,14.0,14.0,15.0,710.0,654.0,134.0,52.0,12.0,109376.5,92.11267605633803
8,2025-06-16,esperancedetunisie,Espérance De Tunisie,CR Flamengo,0,2,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M08%20FLA%20V%20EST%20POST%20MATCH%20REPORT.pdf,3,4,29.8,4-2-3-1,29.0,11.0,18.0,12.0,4.0,18.0,2.0,5.0,5.0,0.0,4.0,35.0,18.0,8.0,325.0,261.0,61.0,54.0,6.0,107426.5,80.3076923076923
9,2025-06-17,fluminensefc,Fluminense FC,Borussia Dortmund,0,0,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M09%20FLU%20v%20BVB%20POST%20MATCH%20REPORT.pdf,3,4,45.2,4-1-2-3,25.0,19.0,14.0,18.0,5.0,15.0,2.0,7.0,4.0,1.0,3.0,24.0,22.0,10.0,497.0,420.0,103.0,60.0,14.0,110929.1,84.50704225352112
9,2025-06-17,borussiadortmund,Borussia Dortmund,Fluminense FC,0,0,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M09%20FLU%20v%20BVB%20POST%20MATCH%20REPORT.pdf,3,4,47.4,3-4-3,37.0,17.0,19.0,13.0,3.0,12.0,1.0,9.0,7.0,0.0,5.0,15.0,19.0,10.0,589.0,520.0,115.0,40.0,7.0,118829.5,88.28522920203736
10,2025-06-17,cariverplate,CA River Plate,Urawa Red Diamonds,3,1,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M10%20RIV%20V%20URD%20POST%20MATCH%20REPORT.pdf,3,4,51.9,4-1-2-3,37.0,19.0,14.0,10.0,5.0,14.0,2.0,7.0,7.0,1.0,4.0,16.0,11.0,13.0,600.0,517.0,126.0,53.0,13.0,112423.0,86.16666666666667
10,2025-06-17,urawareddiamonds,Urawa Red Diamonds,CA River Plate,1,3,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M10%20RIV%20V%20URD%20POST%20MATCH%20REPORT.pdf,3,4,40.1,4-2-3-1,24.0,15.0,20.0,12.0,4.0,17.0,4.0,7.0,6.0,1.0,5.0,30.0,14.0,9.0,396.0,314.0,80.0,46.0,10.0,116812.1,79.29292929292929
